rate,actual_req_sec,corrected_avg,corrected_p50,corrected_p99,corrected_p99_9,uncorrected_avg,uncorrected_p50,uncorrected_p99,uncorrected_p99_9,success
1000,999.89,1284.861,1163.0,4967.0,15079.0,499.047,421.0,1724.0,4359.0,True
2000,1998.63,1635.571,1193.0,12479.0,17631.0,385.531,301.0,1639.0,4403.0,True
3000,2980.59,67663.723,70527.0,130495.0,137599.0,331.138,271.0,1099.0,3471.0,True
4000,2695.17,1683447.292,1719295.0,3235839.0,3260415.0,368.292,297.0,1760.0,4411.0,True
5000,3003.98,2037723.515,2121727.0,3958783.0,3989503.0,330.131,275.0,1097.0,3717.0,True
6000,3103.72,2321878.769,2238463.0,4775935.0,4825087.0,319.364,272.0,871.0,3189.0,True
7000,3092.04,2808852.413,2861055.0,5513215.0,5578751.0,320.586,273.0,975.0,2435.0,True
8000,2626.85,3104792.998,2740223.0,6647807.0,6709247.0,377.989,279.0,1947.0,6863.0,True
9000,2753.97,3553499.388,3549183.0,6864895.0,6926335.0,360.805,258.0,2415.0,5603.0,True
10000,2893.14,3546235.718,3506175.0,7041023.0,7098367.0,342.923,287.0,1368.0,3931.0,True
20000,2881.19,4279035.383,4235263.0,8478719.0,8552447.0,344.022,290.0,1108.0,4423.0,True
30000,2999.91,4438752.92,4362239.0,8904703.0,8994815.0,330.602,276.0,1266.0,4327.0,True
40000,3279.87,4638789.743,4681727.0,9093119.0,9175039.0,302.836,249.0,1129.0,3823.0,True
50000,2832.29,4578597.179,4530175.0,9347071.0,9428991.0,350.397,287.0,1501.0,4183.0,True
55000,3141.16,4641661.271,4575231.0,9338879.0,9420799.0,315.84,271.0,922.0,2325.0,True
60000,3231.9,4749963.935,4788223.0,9355263.0,9453567.0,306.726,267.0,884.0,2119.0,True
65000,3155.72,4793076.173,4755455.0,9420799.0,9510911.0,314.418,260.0,921.0,2681.0,True
70000,3050.53,4793177.102,4767743.0,9478143.0,9560063.0,325.564,255.0,1064.0,4027.0,True
75000,2832.54,4759731.791,4747263.0,9543679.0,9617407.0,350.281,287.0,1541.0,4955.0,True
80000,2865.19,4859390.951,4886527.0,9560063.0,9633791.0,346.344,276.0,1513.0,4535.0,True
85000,3021.37,4823196.763,4866047.0,9551871.0,9641983.0,328.151,273.0,1015.0,2725.0,True
90000,3039.99,4836206.446,4882431.0,9576447.0,9658367.0,326.0,271.0,1025.0,2587.0,True
95000,2971.89,4882717.192,5013503.0,9576447.0,9674751.0,334.328,271.0,1602.0,3885.0,True
100000,2821.92,4900928.906,4943871.0,9633791.0,9715711.0,352.122,284.0,1476.0,3995.0,True
