rate,actual_req_sec,corrected_avg,corrected_p50,corrected_p99,corrected_p99_9,uncorrected_avg,uncorrected_p50,uncorrected_p99,uncorrected_p99_9,success
1000,993.66,1057.037,1037.0,1967.0,2171.0,291.052,285.0,451.0,494.0,True
2000,1985.77,1037.239,1030.0,1952.0,2307.0,286.621,280.0,430.0,477.0,True
3000,2977.64,1145.675,1128.0,2143.0,2355.0,321.894,320.0,480.0,546.0,True
4000,3969.69,1196.399,1184.0,2265.0,2495.0,362.555,364.0,544.0,597.0,True
5000,4961.49,1213.095,1145.0,2383.0,2629.0,404.829,406.0,642.0,717.0,True
6000,5398.58,1954.342,1979.0,3197.0,3387.0,1097.538,1166.0,1651.0,1804.0,True
7000,6945.52,1471.564,1374.0,2761.0,2957.0,565.508,569.0,912.0,1012.0,True
8000,7937.1,1519.335,1445.0,2953.0,3197.0,634.275,648.0,1033.0,1129.0,True
9000,8929.41,1592.636,1448.0,3075.0,3307.0,689.312,686.0,1209.0,1347.0,True
10000,9921.03,1572.99,1462.0,3139.0,3505.0,721.524,727.0,1205.0,1359.0,True
20000,17993.49,1510.912,1454.0,3175.0,8359.0,609.206,588.0,1200.0,1743.0,True
30000,29761.5,1320.45,1260.0,2843.0,3119.0,457.845,451.0,829.0,1030.0,True
40000,39684.19,1226.355,1158.0,2613.0,2875.0,434.001,435.0,760.0,907.0,True
50000,49604.95,996.282,890.0,2901.0,4119.0,411.202,404.0,735.0,842.0,True
55000,54460.63,7014.937,1079.0,74815.0,107135.0,481.982,498.0,745.0,852.0,True
60000,58564.64,129470.039,50079.0,609791.0,652287.0,489.396,483.0,773.0,874.0,True
65000,62068.34,336637.785,197119.0,1131519.0,1185791.0,473.491,448.0,773.0,879.0,True
70000,67959.18,151980.809,52799.0,747519.0,930815.0,431.033,436.0,700.0,812.0,True
75000,66362.96,492202.818,408063.0,1581055.0,1851391.0,460.25,463.0,713.0,826.0,True
80000,71843.45,453922.918,347135.0,1627135.0,2026495.0,426.937,434.0,632.0,766.0,True
85000,61813.84,1545042.076,1497087.0,3276799.0,3473407.0,498.652,470.0,765.0,864.0,True
90000,70699.72,915631.624,822271.0,2488319.0,2844671.0,434.4,426.0,708.0,822.0,True
95000,62162.93,1412543.982,1406975.0,2869247.0,3080191.0,448.042,437.0,715.0,888.0,True
100000,56659.94,1832814.566,1860607.0,3704831.0,3921919.0,494.179,475.0,750.0,936.0,True
