rate,actual_req_sec,corrected_avg,corrected_p50,corrected_p99,corrected_p99_9,uncorrected_avg,uncorrected_p50,uncorrected_p99,uncorrected_p99_9,success
1000,1001.44,1343.885,1362.0,2217.0,2479.0,572.441,593.0,826.0,925.0,True
2000,1999.82,1319.566,1311.0,2351.0,2673.0,555.978,564.0,829.0,1029.0,True
3000,2998.76,1253.49,1226.0,2301.0,2551.0,515.613,514.0,834.0,968.0,True
4000,3997.69,1266.006,1249.0,2345.0,2585.0,509.805,506.0,806.0,901.0,True
5000,4996.79,1246.351,1226.0,2299.0,2565.0,481.275,469.0,805.0,921.0,True
6000,5995.05,1380.309,1339.0,2537.0,2913.0,626.093,594.0,1234.0,1511.0,True
7000,6994.55,1388.563,1347.0,2565.0,2853.0,658.554,620.0,1327.0,1542.0,True
8000,7994.44,1214.767,1190.0,2335.0,2637.0,468.365,448.0,878.0,1026.0,True
9000,8993.4,1230.202,1206.0,2387.0,2715.0,468.95,444.0,917.0,1093.0,True
10000,9991.76,1253.583,1221.0,2449.0,2769.0,474.048,444.0,967.0,1172.0,True
20000,19981.1,1282.756,1232.0,2593.0,2955.0,489.506,459.0,1017.0,1239.0,True
30000,29971.3,1267.09,1234.0,2647.0,3171.0,381.458,360.0,818.0,1337.0,True
40000,39962.01,1227.222,1181.0,2693.0,3215.0,365.606,353.0,765.0,1058.0,True
50000,49956.06,1155.813,1086.0,2707.0,3363.0,392.365,388.0,725.0,849.0,True
55000,54950.11,3154.041,1132.0,44511.0,78399.0,462.983,462.0,779.0,897.0,True
60000,59033.97,37040.857,1584.0,436223.0,683007.0,491.568,488.0,773.0,879.0,True
65000,59445.87,410233.404,311039.0,1421311.0,1593343.0,512.42,509.0,794.0,896.0,True
70000,66522.68,432796.557,388095.0,1353727.0,1574911.0,450.911,447.0,748.0,859.0,True
75000,65619.28,900570.924,912895.0,1978367.0,2117631.0,462.552,452.0,798.0,913.0,True
80000,62148.93,1336358.987,1379327.0,2854911.0,3135487.0,491.629,484.0,809.0,919.0,True
85000,65227.99,1397784.315,1381375.0,3026943.0,3194879.0,466.547,459.0,792.0,907.0,True
90000,69958.21,1088612.553,1002495.0,2746367.0,2947071.0,431.023,432.0,706.0,800.0,True
95000,64443.49,1876745.286,2002943.0,3786751.0,4073471.0,471.571,464.0,798.0,912.0,True
100000,65140.67,2020939.742,2144255.0,3983359.0,4345855.0,466.781,458.0,795.0,908.0,True
