rate,actual_req_sec,corrected_avg,corrected_p50,corrected_p99,corrected_p99_9,uncorrected_avg,uncorrected_p50,uncorrected_p99,uncorrected_p99_9,success
1000,999.85,1156.594,1151.0,1945.0,2125.0,552.962,589.0,645.0,665.0,True
2000,1999.36,1528.951,1509.0,3177.0,3897.0,455.627,469.0,642.0,669.0,True
3000,2293.51,1209099.253,1147903.0,2326527.0,2353151.0,429.492,437.0,633.0,653.0,True
4000,2633.53,1474792.356,1446911.0,3368959.0,3411967.0,373.924,374.0,633.0,651.0,True
5000,2242.0,2733849.422,2734079.0,5455871.0,5513215.0,439.542,442.0,634.0,652.0,True
6000,2862.58,2302371.213,2381823.0,5148671.0,5218303.0,343.733,325.0,634.0,656.0,True
7000,2797.19,3262748.666,3182591.0,6057983.0,6062079.0,351.722,365.0,640.0,663.0,True
8000,2496.79,3441296.154,3395583.0,6815743.0,6873087.0,394.497,408.0,635.0,652.0,True
9000,2455.19,3653283.049,3620863.0,7221247.0,7262207.0,401.395,412.0,635.0,658.0,True
10000,2463.61,3571375.883,3442687.0,7462911.0,7528447.0,399.565,434.0,633.0,655.0,True
20000,2164.68,4434410.392,4382719.0,8822783.0,8912895.0,455.243,463.0,636.0,653.0,True
30000,2315.85,4598890.281,4538367.0,9142271.0,9224191.0,425.565,438.0,628.0,649.0,True
40000,2499.6,4560947.577,4337663.0,9281535.0,9371647.0,394.01,421.0,631.0,654.0,True
50000,2403.88,4815460.689,4730879.0,9412607.0,9510911.0,409.744,431.0,641.0,658.0,True
55000,2444.61,4746729.663,4718591.0,9519103.0,9543679.0,402.649,434.0,636.0,654.0,True
60000,2394.48,4873894.536,4882431.0,9486335.0,9592831.0,411.345,433.0,633.0,662.0,True
65000,2430.96,4929091.175,4993023.0,9535487.0,9617407.0,405.039,426.0,641.0,667.0,True
70000,2550.85,4620447.596,4530175.0,9519103.0,9625599.0,385.998,414.0,623.0,645.0,True
75000,2323.31,4921184.041,5091327.0,9609215.0,9682943.0,424.128,444.0,629.0,648.0,True
80000,2258.79,4827159.536,4730879.0,9609215.0,9707519.0,436.237,448.0,633.0,652.0,True
85000,2455.32,4853988.011,4730879.0,9617407.0,9699327.0,401.164,429.0,628.0,648.0,True
90000,2517.5,5105526.025,5181439.0,9609215.0,9715711.0,391.144,422.0,632.0,653.0,True
95000,2377.16,4942529.048,4923391.0,9641983.0,9740287.0,414.456,421.0,641.0,659.0,True
100000,2421.3,4825873.237,4890623.0,9674751.0,9756671.0,406.712,417.0,634.0,655.0,True
