rate,actual_req_sec,corrected_avg,corrected_p50,corrected_p99,corrected_p99_9,uncorrected_avg,uncorrected_p50,uncorrected_p99,uncorrected_p99_9,success
1000,1001.44,1145.94,1136.0,2163.0,6531.0,402.355,393.0,603.0,1631.0,True
2000,1957.49,1375.451,1197.0,2531.0,53727.0,622.672,403.0,1511.0,53439.0,True
3000,2988.57,1312.619,1164.0,2329.0,51519.0,583.829,427.0,907.0,51295.0,True
4000,3878.05,1581.499,1277.0,4107.0,31103.0,798.833,409.0,2885.0,30815.0,True
5000,4908.47,1253.866,1171.0,2599.0,26735.0,498.932,370.0,1453.0,26431.0,True
6000,5892.69,1270.757,1188.0,2739.0,20143.0,496.392,387.0,1442.0,18223.0,True
7000,6956.8,1172.846,1110.0,2189.0,18687.0,402.887,349.0,746.0,17743.0,True
8000,7853.31,1213.949,1158.0,2541.0,13231.0,463.273,385.0,1223.0,2981.0,True
9000,8834.48,1248.134,1185.0,2585.0,15159.0,481.064,387.0,1399.0,2815.0,True
10000,9574.05,2011.97,1561.0,5043.0,11063.0,1191.252,540.0,3877.0,5243.0,True
20000,19853.34,1169.904,1117.0,2361.0,7875.0,371.236,319.0,931.0,1494.0,True
30000,29410.65,1350.554,1301.0,2791.0,3773.0,547.966,486.0,1495.0,2205.0,True
40000,39690.8,1471.255,1388.0,3171.0,8951.0,657.368,601.0,1629.0,4775.0,True
50000,48443.74,1762.062,1707.0,3915.0,8871.0,965.193,933.0,2645.0,5383.0,True
55000,52655.07,4842.768,2229.0,97215.0,276735.0,1720.226,1334.0,5299.0,6827.0,True
60000,58478.43,26646.764,6111.0,455935.0,763903.0,2875.849,4045.0,6399.0,6635.0,True
65000,63724.98,3084.114,1884.0,30623.0,100799.0,1329.405,1162.0,4375.0,5523.0,True
70000,65330.32,232019.439,168319.0,1730559.0,2351103.0,3561.047,3607.0,5483.0,6571.0,True
75000,64994.07,634331.581,596991.0,2445311.0,3192831.0,3813.732,3683.0,5595.0,6611.0,True
80000,64983.64,909615.492,893951.0,2834431.0,3555327.0,3819.788,3687.0,5599.0,6587.0,True
85000,66709.01,905056.001,861183.0,2940927.0,3745791.0,3715.536,3683.0,5607.0,5815.0,True
90000,68049.9,1160166.2,1129471.0,3235839.0,4073471.0,3695.946,3621.0,5499.0,5715.0,True
95000,63225.46,1585896.82,1640447.0,3792895.0,4603903.0,3878.056,3697.0,6255.0,6667.0,True
100000,64247.71,1894902.871,1936383.0,4063231.0,4837375.0,3924.045,3711.0,6019.0,6703.0,True
