Command: /home/vjabrayilov/machnet/examples/scripts/../../release_build/examples/webclient/webclient http://10.0.0.5:8000/index.html -c 1 -t 1 -R 8000 -d 10 -L -U
Return code: 0
STDOUT:
Running 10s test @ http://10.0.0.5:8000/index.html
  1 threads and 1 connections
[INFO] sock_connect: Connected successfully to 10.0.0.5:8000 and c->thread_start=1751321056756593
  Thread calibration: mean lat.: 0.047ms, rate sampling interval: 10ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    47.28us    4.06us 331.00us   94.95%
    Req/Sec     8.00k    21.18     8.30k    99.49%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   47.00us
 75.000%   47.00us
 90.000%   50.00us
 99.000%   57.00us
 99.900%   68.00us
 99.990%  199.00us
 99.999%  331.00us
100.000%  331.00us

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      44.000     0.000000           23         1.00
      45.000     0.100000         1634         1.11
      46.000     0.200000         7337         1.25
      46.000     0.300000         7337         1.43
      46.000     0.400000         7337         1.67
      47.000     0.500000        12130         2.00
      47.000     0.550000        12130         2.22
      47.000     0.600000        12130         2.50
      47.000     0.650000        12130         2.86
      47.000     0.700000        12130         3.33
      47.000     0.750000        12130         4.00
      48.000     0.775000        13620         4.44
      48.000     0.800000        13620         5.00
      48.000     0.825000        13620         5.71
      48.000     0.850000        13620         6.67
      49.000     0.875000        14159         8.00
      50.000     0.900000        14536        10.00
      50.000     0.912500        14536        11.43
      51.000     0.925000        14772        13.33
      52.000     0.937500        14983        16.00
      52.000     0.943750        14983        17.78
      53.000     0.950000        15173        20.00
      53.000     0.956250        15173        22.86
      54.000     0.962500        15328        26.67
      54.000     0.968750        15328        32.00
      55.000     0.971875        15449        35.56
      55.000     0.975000        15449        40.00
      55.000     0.978125        15449        45.71
      56.000     0.981250        15562        53.33
      56.000     0.984375        15562        64.00
      57.000     0.987500        15630        80.00
      57.000     0.989063        15630        91.43
      58.000     0.990625        15670       106.67
      58.000     0.992188        15670       128.00
      59.000     0.993750        15697       160.00
      59.000     0.994531        15697       182.86
      60.000     0.995313        15717       213.33
      61.000     0.996094        15729       256.00
      61.000     0.996484        15729       284.44
      62.000     0.996875        15739       320.00
      62.000     0.997266        15739       365.71
      63.000     0.997656        15750       426.67
      63.000     0.998047        15750       512.00
      64.000     0.998242        15754       568.89
      65.000     0.998437        15756       640.00
      66.000     0.998633        15759       731.43
      67.000     0.998828        15762       853.33
      68.000     0.999023        15766      1024.00
      69.000     0.999121        15768      1137.78
      69.000     0.999219        15768      1280.00
      74.000     0.999316        15772      1462.86
      74.000     0.999414        15772      1706.67
      83.000     0.999512        15773      2048.00
      84.000     0.999561        15774      2275.56
      84.000     0.999609        15774      2560.00
      92.000     0.999658        15775      2925.71
     109.000     0.999707        15776      3413.33
     135.000     0.999756        15777      4096.00
     135.000     0.999805        15777      5120.00
     199.000     0.999829        15778      5851.43
     199.000     0.999854        15778      6826.67
     261.000     0.999878        15779      8192.00
     261.000     0.999902        15779     10240.00
     261.000     0.999915        15779     11702.86
     261.000     0.999927        15779     13653.33
     331.000     0.999939        15780     16384.00
     331.000     1.000000        15780          inf
#[Mean    =       47.284, StdDeviation   =        4.062]
#[Max     =      331.000, Total count    =        15780]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------

  Latency Distribution (HdrHistogram - Uncorrected Latency (measured without taking delayed starts into account))
 50.000%   45.00us
 75.000%   45.00us
 90.000%   47.00us
 99.000%   54.00us
 99.900%   61.00us
 99.990%   82.00us
 99.999%  107.00us
100.000%  107.00us

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      43.000     0.000000           87         1.00
      44.000     0.100000         5647         1.11
      44.000     0.200000         5647         1.25
      44.000     0.300000         5647         1.43
      45.000     0.400000        11861         1.67
      45.000     0.500000        11861         2.00
      45.000     0.550000        11861         2.22
      45.000     0.600000        11861         2.50
      45.000     0.650000        11861         2.86
      45.000     0.700000        11861         3.33
      45.000     0.750000        11861         4.00
      46.000     0.775000        13916         4.44
      46.000     0.800000        13916         5.00
      46.000     0.825000        13916         5.71
      46.000     0.850000        13916         6.67
      46.000     0.875000        13916         8.00
      47.000     0.900000        14548        10.00
      47.000     0.912500        14548        11.43
      48.000     0.925000        14981        13.33
