rate,actual_req_sec,corrected_avg,corrected_p50,corrected_p99,corrected_p99_9,uncorrected_avg,uncorrected_p50,uncorrected_p99,uncorrected_p99_9,success
1000,993.74,1461.329,1366.0,3547.0,8719.0,711.877,624.0,2709.0,7847.0,True
2000,1985.9,1552.401,1343.0,5923.0,13799.0,743.476,593.0,4899.0,10319.0,True
3000,2699.92,1918.373,1633.0,8151.0,11623.0,1174.966,921.0,7439.0,10623.0,True
4000,3969.87,1425.523,1296.0,4923.0,9815.0,674.696,552.0,3925.0,8591.0,True
5000,4961.75,1392.212,1305.0,3419.0,8039.0,629.267,560.0,2499.0,7187.0,True
6000,5953.74,1427.38,1353.0,3009.0,5807.0,639.614,607.0,1946.0,4911.0,True
7000,6945.16,1479.31,1366.0,4243.0,11415.0,670.985,604.0,2961.0,8327.0,True
8000,7938.21,1581.628,1296.0,4743.0,70783.0,640.304,557.0,2923.0,8495.0,True
9000,8929.71,1529.622,1350.0,5111.0,14663.0,697.419,605.0,3365.0,7647.0,True
10000,9922.13,1505.968,1379.0,3991.0,14527.0,669.747,612.0,2447.0,6307.0,True
20000,17994.19,1572.372,1443.0,4547.0,17519.0,712.205,627.0,1988.0,5735.0,True
30000,29762.53,1547.28,1286.0,6683.0,21375.0,600.392,531.0,1700.0,5063.0,True
40000,39687.55,1769.091,1052.0,12895.0,162687.0,527.999,494.0,1445.0,4423.0,True
50000,44697.88,36930.397,2235.0,508671.0,754687.0,590.892,568.0,1411.0,4379.0,True
55000,49281.07,419291.302,258687.0,2011135.0,2666495.0,624.451,560.0,2305.0,8863.0,True
60000,51393.02,622617.849,427263.0,2537471.0,2998271.0,601.631,551.0,1952.0,8431.0,True
65000,51198.09,969634.091,866815.0,2633727.0,2983935.0,605.031,582.0,1423.0,4355.0,True
70000,49832.8,1356971.01,1307647.0,3205119.0,3543039.0,621.221,599.0,1451.0,4455.0,True
75000,50111.66,1556644.203,1505279.0,3610623.0,3846143.0,617.071,597.0,1323.0,4347.0,True
80000,50671.3,1764127.569,1729535.0,3940351.0,4333567.0,611.255,594.0,1333.0,3671.0,True
85000,51565.72,1916555.011,1892351.0,4284415.0,4673535.0,601.848,579.0,1409.0,4163.0,True
90000,45642.81,1960490.304,1949695.0,4126719.0,4329471.0,615.187,589.0,1495.0,4051.0,True
95000,51104.91,2226010.98,2195455.0,5107711.0,5931007.0,610.584,563.0,1830.0,5559.0,True
100000,50227.83,2464064.606,2457599.0,5316607.0,5951487.0,619.253,577.0,1991.0,5687.0,True
