rate,actual_req_sec,corrected_avg,corrected_p50,corrected_p99,corrected_p99_9,uncorrected_avg,uncorrected_p50,uncorrected_p99,uncorrected_p99_9,success
1000,1001.37,1301.217,1284.0,2341.0,3673.0,548.331,519.0,834.0,1527.0,True
2000,1957.72,1533.539,1351.0,2897.0,53727.0,762.072,553.0,1497.0,53439.0,True
3000,2906.59,1638.533,1384.0,4033.0,50175.0,877.73,566.0,2685.0,50015.0,True
4000,3925.08,1415.353,1307.0,2875.0,37599.0,629.228,493.0,1441.0,37247.0,True
5000,4972.98,1284.531,1197.0,2331.0,32159.0,523.094,451.0,824.0,31791.0,True
6000,5964.62,1269.21,1200.0,2331.0,22015.0,515.25,457.0,867.0,17311.0,True
7000,6875.22,1400.04,1341.0,2699.0,11943.0,629.581,544.0,1453.0,7695.0,True
8000,7856.28,1369.816,1309.0,2639.0,9719.0,592.212,508.0,1380.0,4919.0,True
9000,8941.84,1282.683,1223.0,2415.0,9543.0,514.411,473.0,918.0,1851.0,True
10000,9933.53,1290.139,1234.0,2437.0,6359.0,517.988,478.0,979.0,1306.0,True
20000,19852.04,1305.169,1246.0,2603.0,5299.0,511.443,461.0,1180.0,1975.0,True
30000,29411.97,1367.371,1306.0,2835.0,4591.0,571.525,513.0,1458.0,3447.0,True
40000,38764.75,1658.633,1582.0,3413.0,5363.0,852.277,790.0,2071.0,4147.0,True
50000,49605.31,1902.996,1846.0,3723.0,6707.0,1136.759,1099.0,2469.0,4719.0,True
55000,54569.04,1874.347,1791.0,3911.0,9791.0,1186.138,1115.0,2803.0,4539.0,True
60000,58217.66,64194.904,9751.0,1204223.0,1744895.0,3883.65,4163.0,6443.0,6643.0,True
65000,57604.92,392715.52,288255.0,2627583.0,3168255.0,4074.396,4179.0,6419.0,6595.0,True
70000,57833.51,804023.988,728063.0,3203071.0,3946495.0,4349.918,4207.0,6427.0,6651.0,True
75000,71478.57,180759.037,76351.0,2131967.0,2791423.0,3516.04,3439.0,5231.0,5487.0,True
80000,67306.06,816883.371,792063.0,2885631.0,3411967.0,3682.5,3483.0,6207.0,6575.0,True
85000,67071.5,1212635.543,1250303.0,3225599.0,3952639.0,3751.916,3493.0,6243.0,6567.0,True
90000,66841.26,1190390.219,1168383.0,3393535.0,4280319.0,3759.51,3699.0,5723.0,6003.0,True
95000,71818.61,1043030.096,997887.0,3289087.0,4132863.0,3451.259,3403.0,5175.0,5335.0,True
100000,64199.05,1765727.296,1909759.0,4255743.0,4972543.0,3815.265,3519.0,6447.0,6747.0,True
