rate,actual_req_sec,corrected_avg,corrected_p50,corrected_p99,corrected_p99_9,uncorrected_avg,uncorrected_p50,uncorrected_p99,uncorrected_p99_9,success
1000,1007.59,2875.281,2255.0,19103.0,29023.0,1981.997,1686.0,18735.0,19023.0,True
2000,2007.25,47290.508,1539.0,936959.0,1064959.0,1629.706,693.0,8599.0,206079.0,True
3000,3004.8,44385.401,1545.0,930815.0,1071103.0,1321.018,710.0,2899.0,62367.0,True
4000,3999.67,26749.429,3235.0,799743.0,1021439.0,2877.192,2233.0,5615.0,212991.0,True
5000,4997.83,43868.098,3003.0,920575.0,1051647.0,2549.014,2237.0,6019.0,58943.0,True
6000,5994.16,37132.763,2063.0,906751.0,1061887.0,1822.604,1322.0,4263.0,59487.0,True
7000,6996.75,44623.493,1668.0,921087.0,1049599.0,1295.516,727.0,3073.0,50111.0,True
8000,7999.09,51460.262,1406.0,922623.0,1020927.0,1030.784,570.0,5063.0,44063.0,True
9000,8988.81,45503.803,3629.0,908799.0,1030655.0,2907.773,2717.0,6067.0,28495.0,True
10000,9985.16,32013.649,3547.0,855551.0,1033727.0,2772.979,2551.0,5647.0,30767.0,True
20000,19910.69,44085.864,1247.0,923135.0,1048063.0,603.268,410.0,2038.0,7483.0,True
30000,29946.65,11453.003,1258.0,491007.0,969215.0,559.555,448.0,1770.0,3783.0,True
40000,39929.98,1405.448,1333.0,3401.0,19631.0,623.799,555.0,2411.0,4831.0,True
50000,49904.53,7902.137,1815.0,172031.0,922111.0,1068.949,1065.0,2423.0,4395.0,True
55000,54908.74,5621.413,1593.0,17983.0,891391.0,919.092,847.0,2643.0,4307.0,True
60000,56581.02,278533.467,124159.0,2613247.0,3162111.0,4488.906,4287.0,6775.0,7351.0,True
65000,63286.25,39079.839,2079.0,421375.0,717823.0,2095.845,1047.0,6343.0,6679.0,True
70000,63378.08,678005.484,580607.0,2615295.0,3110911.0,3988.383,3811.0,6459.0,7315.0,True
75000,71170.74,228311.857,110847.0,2158591.0,2883583.0,3571.54,3465.0,5255.0,5459.0,True
80000,70820.36,550685.721,465919.0,2516991.0,3229695.0,3584.187,3461.0,5379.0,5771.0,True
85000,68436.19,817893.665,637439.0,3233791.0,3981311.0,3715.055,3463.0,6227.0,6831.0,True
90000,70805.46,1030346.98,996351.0,3227647.0,3985407.0,3590.472,3475.0,5415.0,5783.0,True
95000,69433.0,1315848.568,1294335.0,3604479.0,4321279.0,3661.573,3533.0,5591.0,6087.0,True
100000,70627.68,1434941.164,1409023.0,3661823.0,4448255.0,3574.38,3485.0,5283.0,5467.0,True
